x_times_g,y_times_g,z_times_g,g_measured,TimeInterval,Date
0.207443,0.806061,-0.471405,0.956551,90554.241461,2001-01-01 19:09:14.241 -0600
0.262939,0.857040,-0.508484,1.030636,90554.211676,2001-01-01 19:09:14.212 -0600
0.458572,0.967331,-0.500839,1.181887,90554.181769,2001-01-01 19:09:14.182 -0600
0.575912,1.034943,-0.422440,1.257472,90554.151984,2001-01-01 19:09:14.152 -0600
0.453003,0.925552,-0.251465,1.060704,90554.122077,2001-01-01 19:09:14.122 -0600
0.331650,0.873962,-0.218567,0.959986,90554.092292,2001-01-01 19:09:14.092 -0600
0.311356,0.897552,-0.239624,0.979777,90554.062354,2001-01-01 19:09:14.062 -0600
0.390045,0.917648,-0.252182,1.028499,90554.032569,2001-01-01 19:09:14.033 -0600
0.388809,0.851456,-0.173416,0.951957,90554.002661,2001-01-01 19:09:14.003 -0600
0.419815,0.826965,-0.123428,0.935602,90553.972876,2001-01-01 19:09:13.973 -0600
0.595963,0.946472,-0.120895,1.124987,90553.942969,2001-01-01 19:09:13.943 -0600
0.750015,1.025055,-0.077759,1.272520,90553.913184,2001-01-01 19:09:13.913 -0600
0.593124,1.014923,-0.003860,1.175534,90553.883277,2001-01-01 19:09:13.883 -0600
0.377777,0.856827,-0.015549,0.936541,90553.853491,2001-01-01 19:09:13.853 -0600
0.247849,0.737808,-0.054398,0.780224,90553.823609,2001-01-01 19:09:13.824 -0600
0.291565,0.671967,-0.106506,0.740198,90553.793824,2001-01-01 19:09:13.794 -0600
0.459869,0.769684,-0.151642,0.909334,90553.763917,2001-01-01 19:09:13.764 -0600
0.688828,1.007996,-0.161469,1.231507,90553.734132,2001-01-01 19:09:13.734 -0600
0.725372,1.232361,-0.309769,1.463159,90553.704224,2001-01-01 19:09:13.704 -0600
0.601883,1.077148,-0.282059,1.265729,90553.674439,2001-01-01 19:09:13.674 -0600
0.465622,0.923386,-0.244232,1.062588,90553.644532,2001-01-01 19:09:13.645 -0600
0.462997,0.815369,-0.249390,0.970251,90553.614747,2001-01-01 19:09:13.615 -0600
0.463379,0.811005,-0.237167,0.963689,90553.584840,2001-01-01 19:09:13.585 -0600
0.456558,0.808548,-0.239441,0.958920,90553.555055,2001-01-01 19:09:13.555 -0600
0.455872,0.802689,-0.243835,0.954769,90553.525147,2001-01-01 19:09:13.525 -0600
0.458023,0.802460,-0.238678,0.954303,90553.495362,2001-01-01 19:09:13.495 -0600
0.458344,0.784927,-0.220810,0.935386,90553.465455,2001-01-01 19:09:13.465 -0600
0.457764,0.792511,-0.211304,0.939293,90553.435670,2001-01-01 19:09:13.436 -0600
0.452560,0.809326,-0.204086,0.949458,90553.405763,2001-01-01 19:09:13.406 -0600
0.476242,0.829361,-0.206039,0.978314,90553.375977,2001-01-01 19:09:13.376 -0600
0.492966,0.845215,-0.219559,1.002801,90553.346070,2001-01-01 19:09:13.346 -0600
0.497559,0.859848,-0.214905,1.016409,90553.316285,2001-01-01 19:09:13.316 -0600
